,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,price
33,"Broccoli, raw, chinese",100 g,30.0,0.8g,0.1g,0,7.00 mg,26.5 mg,104.00 mcg,0.00 mcg,0.459 mg,0,0.153 mg,0.100 mg,1720.00 IU,86.00 mcg,0.00 mcg,1032.00 mcg,0.00 mcg,957.00 mcg,0.0,0.00 mcg,0.074 mg,29.6 mg,0.00 IU,0.50 mg,0.50 mg,89.1 mcg,105.00 mg,0.064 mg,0.59 mg,19.00 mg,0,43.00 mg,274.00 mg,1.4 mcg,0.41 mg,1.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67 g,2.6 g,0.88 g,0,0,0,0,0,0,0.76 g,0.116 g,0.053 g,0.347 g,0.00 mg,0.0 g,0.83 g,0.00 mg,0.00 mg,92.55 g,1.0
34,"McDONALD'S, Hash Brown",100 g,271.0,16g,2.3g,0,580.00 mg,0,12.00 mcg,0,1.733 mg,0.345 mg,0.032 mg,0.127 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,17.00 mcg,0.0,0,0.180 mg,5.6 mg,0,2.14 mg,2.14 mg,0,19.00 mg,0.093 mg,0.56 mg,20.00 mg,0.153 mg,99.00 mg,341.00 mg,0.4 mcg,0.34 mg,2.48 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56 g,2.8 g,0.54 g,0.24 g,0.00 g,0.30 g,0.00 g,0.00 g,0.00 g,16.30 g,2.327 g,8.055 g,5.065 g,0.00 mg,0,2.25 g,0,0,50.42 g,0.7
35,"Agave, raw (Southwest)",100 g,68.0,0.2g,,0,14.00 mg,0,7.00 mcg,0.00 mcg,0.162 mg,0.041 mg,0.039 mg,0.029 mg,37.00 IU,2.00 mcg,0.00 mcg,22.00 mcg,0.00 mcg,0,0.0,0.00 mcg,0.055 mg,4.0 mg,0.00 IU,0.23 mg,0.23 mg,5.3 mcg,417.00 mg,0.138 mg,1.80 mg,55.00 mg,0.094 mg,7.00 mg,127.00 mg,0.4 mcg,0.15 mg,0.52 g,0.024 g,0.106 g,0.041 g,0.008 g,0.052 g,0.019 g,0.008 g,0,0.014 g,0.025 g,0.028 g,0.009 g,0.019 g,0.013 g,0.021 g,0.014 g,0.008 g,0.009 g,0.022 g,16.23 g,6.6 g,2.58 g,0.98 g,0.00 g,1.19 g,0.00 g,0.00 g,0.41 g,0.15 g,0,0,0,0.00 mg,0.0 g,1.27 g,0.00 mg,0.00 mg,81.83 g,4.0
36,"Emu, raw, outside drum",100 g,103.0,0.5g,0.1g,78mg,100.00 mg,0,7.00 mcg,0.00 mcg,7.245 mg,2.500 mg,0.442 mg,0.258 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,6.92 mcg,0.676 mg,0.0 mg,0,0.17 mg,0.17 mg,0,3.00 mg,0.199 mg,4.50 mg,29.00 mg,0.025 mg,225.00 mg,320.00 mg,36.3 mcg,4.50 mg,23.08 g,0.897 g,1.039 g,2.008 g,0.167 g,2.253 g,0.727 g,0.505 g,0.151 g,0.750 g,1.274 g,1.358 g,0.438 g,0.659 g,0.935 g,0.549 g,0.662 g,0.153 g,0.492 g,0.769 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.48 g,0.122 g,0.202 g,0.070 g,78.00 mg,0.0 g,1.00 g,0.00 mg,0.00 mg,74.87 g,10.0
37,"Nuts, dried, beechnuts",100 g,576.0,50g,5.7g,0,38.00 mg,0,113.00 mcg,0.00 mcg,0.877 mg,0.925 mg,0.371 mg,0.304 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0.00 mcg,0.684 mg,15.5 mg,0,0,0,0,1.00 mg,0.670 mg,2.46 mg,0.00 mg,1.341 mg,0.00 mg,1017.00 mg,0,0.36 mg,6.20 g,0.414 g,0.443 g,1.071 g,0.197 g,0.800 g,0.319 g,0.172 g,0,0.245 g,0.367 g,0.367 g,0.146 g,0.262 g,0.326 g,0.310 g,0.221 g,0.069 g,0.172 g,0.346 g,33.50 g,0,0,0,0,0,0,0,0,50.00 g,5.719 g,21.892 g,20.089 g,0.00 mg,0,3.70 g,0,0,6.60 g,5.0
38,"Currants, dried, zante",100 g,283.0,0.3g,,0,8.00 mg,10.6 mg,10.00 mcg,0.00 mcg,1.615 mg,0.045 mg,0.142 mg,0.160 mg,73.00 IU,4.00 mcg,1.00 mcg,43.00 mcg,1.00 mcg,0.00 mcg,0.0,0.00 mcg,0.296 mg,4.7 mg,0.00 IU,0.11 mg,0.11 mg,3.3 mcg,86.00 mg,0.468 mg,3.26 mg,41.00 mg,0.469 mg,125.00 mg,892.00 mg,0.7 mcg,0.66 mg,4.08 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.08 g,6.8 g,67.28 g,0,0,0,0,0,0,0.27 g,0.028 g,0.047 g,0.180 g,0.00 mg,0.0 g,2.36 g,0.00 mg,0.00 mg,19.21 g,2.0
39,"Lentils, raw, sprouted",100 g,106.0,0.6g,0.1g,0,11.00 mg,0,100.00 mcg,0.00 mcg,1.128 mg,0.578 mg,0.128 mg,0.228 mg,45.00 IU,2.00 mcg,0,0,0,0,0.0,0.00 mcg,0.190 mg,16.5 mg,0.00 IU,0,0,0,25.00 mg,0.352 mg,3.21 mg,37.00 mg,0.506 mg,173.00 mg,322.00 mg,0.6 mcg,1.51 mg,8.96 g,0.356 g,0.611 g,1.433 g,0.334 g,1.258 g,0.319 g,0.257 g,0,0.326 g,0.628 g,0.712 g,0.105 g,0.442 g,0.356 g,0.495 g,0.328 g,0,0.252 g,0.399 g,22.14 g,0,0,0,0,0,0,0,0,0.55 g,0.057 g,0.104 g,0.219 g,0.00 mg,0,1.00 g,0,0,67.34 g,1.5
40,"Gravy, mix, dry, onion",100 g,322.0,3g,1.9g,2mg,4186.00 mg,0,31.00 mcg,17.00 mcg,3.700 mg,0.100 mg,0.400 mg,0.200 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0.70 mcg,0.100 mg,7.0 mg,0,0,0,0,280.00 mg,0.170 mg,1.00 mg,34.00 mg,0.400 mg,203.00 mg,262.00 mg,6.1 mcg,0.88 mg,9.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.64 g,6.0 g,0,0,0,0,0,0,0,3.00 g,1.860 g,0.900 g,0.140 g,2.00 mg,0,16.00 g,0,0,4.36 g,1.0
41,"Pie, fruit, fried pies",100 g,316.0,16g,2.5g,0,333.00 mg,7.2 mg,18.00 mcg,15.00 mcg,1.425 mg,0.110 mg,0.106 mg,0.141 mg,27.00 IU,5.00 mcg,0.00 mcg,5.00 mcg,5.00 mcg,8.00 mcg,0.0,0.08 mcg,0.030 mg,1.3 mg,0.00 IU,1.72 mg,1.72 mg,4.1 mcg,22.00 mg,0.047 mg,1.22 mg,10.00 mg,0.224 mg,43.00 mg,65.00 mg,2.4 mcg,0.23 mg,3.00 g,0.093 g,0.112 g,0.156 g,0.059 g,0.906 g,0.098 g,0.062 g,0,0.120 g,0.211 g,0.121 g,0.052 g,0.138 g,0.314 g,0.154 g,0.089 g,0.042 g,0.090 g,0.138 g,42.60 g,2.6 g,21.40 g,0,0,0,0,0,0,16.10 g,2.457 g,7.449 g,5.376 g,0.00 mg,0.0 g,1.10 g,0.00 mg,0.00 mg,37.60 g,2.0
42,"Snacks, cakes, popcorn",100 g,384.0,3.1g,0.5g,0,288.00 mg,22.4 mg,18.00 mcg,0.00 mcg,6.006 mg,0.434 mg,0.178 mg,0.075 mg,72.00 IU,4.00 mcg,21.00 mcg,33.00 mcg,0.00 mcg,537.00 mcg,0.0,0.00 mcg,0.181 mg,0.0 mg,0.00 IU,0.29 mg,0.29 mg,1.1 mcg,9.00 mg,0.569 mg,1.87 mg,159.00 mg,0.985 mg,277.00 mg,327.00 mg,9.9 mcg,3.99 mg,9.70 g,0.671 g,0.581 g,0.767 g,0.156 g,1.890 g,0.431 g,0.280 g,0,0.372 g,1.053 g,0.312 g,0.210 g,0.488 g,0.706 g,0.480 g,0.363 g,0.091 g,0.387 g,0.523 g,80.10 g,2.9 g,0.72 g,0,0,0,0,0,0,3.10 g,0.480 g,0.920 g,1.350 g,0.00 mg,0.0 g,2.00 g,0.00 mg,0.00 mg,5.00 g,2.5
43,"Snack, Mixed Berry Bar",100 g,383.0,11g,3.8g,0,447.00 mg,39.8 mg,28.00 mcg,0.00 mcg,0.858 mg,1.104 mg,0.285 mg,0.283 mg,97.00 IU,27.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,104.00 mcg,0.0,0.51 mcg,0.116 mg,0.6 mg,2.00 IU,0.29 mg,0.29 mg,1.6 mcg,105.00 mg,0.244 mg,1.89 mg,91.00 mg,1.963 mg,343.00 mg,446.00 mg,19.8 mcg,2.64 mg,13.16 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.84 g,7.9 g,26.32 g,0,0,0,0,0,0,10.53 g,3.846 g,2.897 g,2.058 g,0.00 mg,0.0 g,1.97 g,0.00 mg,0.00 mg,15.52 g,2.0
44,"Fish, raw, sheepshead",100 g,108.0,2.4g,0.6g,50mg,71.00 mg,0,15.00 mcg,0.00 mcg,1.500 mg,0.750 mg,0.040 mg,0.010 mg,100.00 IU,30.00 mcg,0,0,0,0,0.0,2.00 mcg,0.300 mg,0.0 mg,0,0,0,0,21.00 mg,0.031 mg,0.46 mg,32.00 mg,0.013 mg,313.00 mg,404.00 mg,36.5 mcg,0.39 mg,20.21 g,1.222 g,1.210 g,2.070 g,0.217 g,3.017 g,0.970 g,0.595 g,0,0.931 g,1.643 g,1.856 g,0.598 g,0.789 g,0.715 g,0.825 g,0.886 g,0.226 g,0.682 g,1.041 g,0.00 g,0.0 g,0,0,0,0,0,0,0,2.41 g,0.609 g,0.728 g,0.518 g,50.00 mg,0,1.09 g,0,0,77.97 g,6.0
45,"Babyfood, pear, juice",100 g,47.0,0g,,0,8.00 mg,2.6 mg,4.00 mcg,0.00 mcg,0.300 mg,0,0.030 mg,0.010 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.010 mg,33.8 mg,0.00 IU,0.09 mg,0.09 mg,3.4 mcg,12.00 mg,0.065 mg,0.00 mg,8.00 mg,0,12.00 mg,130.00 mg,0.4 mcg,0.08 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86 g,0.1 g,7.28 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.24 g,0.00 mg,0.00 mg,87.90 g,1.0
46,"Brussels sprouts, raw",100 g,43.0,0.3g,0.1g,0,25.00 mg,19.1 mg,61.00 mcg,0.00 mcg,0.745 mg,0.309 mg,0.090 mg,0.139 mg,754.00 IU,38.00 mcg,6.00 mcg,450.00 mcg,0.00 mcg,1590.00 mcg,0.0,0.00 mcg,0.219 mg,85.0 mg,0.00 IU,0.88 mg,0.88 mg,177.0 mcg,42.00 mg,0.070 mg,1.40 mg,23.00 mg,0.337 mg,69.00 mg,389.00 mg,1.6 mcg,0.42 mg,3.38 g,0,0.203 g,0,0.022 g,0,0,0.076 g,0,0.132 g,0.152 g,0.154 g,0.032 g,0.098 g,0,0,0.120 g,0.037 g,0,0.155 g,8.95 g,3.8 g,2.20 g,0.93 g,0.00 g,0.81 g,0.00 g,0.00 g,0.46 g,0.30 g,0.062 g,0.023 g,0.153 g,0.00 mg,0.0 g,1.37 g,0.00 mg,0.00 mg,86.00 g,0.9
47,"Broccoli raab, cooked",100 g,33.0,0.5g,0.1g,0,56.00 mg,33.6 mg,71.00 mcg,0.00 mcg,2.015 mg,0.448 mg,0.140 mg,0.169 mg,4533.00 IU,227.00 mcg,0.00 mcg,2720.00 mcg,0.00 mcg,1683.00 mcg,0.0,0.00 mcg,0.220 mg,37.0 mg,0.00 IU,2.53 mg,2.53 mg,256.0 mcg,118.00 mg,0.075 mg,1.27 mg,27.00 mg,0.380 mg,82.00 mg,343.00 mg,1.3 mcg,0.54 mg,3.83 g,0.149 g,0.207 g,0.434 g,0.047 g,0.662 g,0.148 g,0.080 g,0,0.125 g,0.206 g,0.239 g,0.058 g,0.154 g,0.158 g,0.120 g,0.128 g,0.052 g,0.090 g,0.184 g,3.12 g,2.8 g,0.62 g,0.24 g,0.00 g,0.23 g,0.00 g,0.00 g,0.15 g,0.52 g,0.057 g,0.030 g,0.150 g,0.00 mg,0.0 g,1.11 g,0.00 mg,0.00 mg,91.41 g,1.5
48,"Butter oil, anhydrous",100 g,876.0,99g,62g,256mg,2.00 mg,22.3 mg,0.00 mcg,0.00 mcg,0.003 mg,0.010 mg,0.005 mg,0.001 mg,3069.00 IU,840.00 mcg,0.00 mcg,193.00 mcg,0.00 mcg,0.00 mcg,0.0,0.01 mcg,0.001 mg,0.0 mg,0.00 IU,2.80 mg,2.80 mg,8.6 mcg,4.00 mg,0.001 mg,0.00 mg,0.00 mg,0.000 mg,3.00 mg,5.00 mg,0.0 mcg,0.01 mg,0.28 g,0.010 g,0.010 g,0.021 g,0.003 g,0.059 g,0.006 g,0.008 g,0,0.017 g,0.027 g,0.022 g,0.007 g,0.014 g,0.027 g,0.015 g,0.013 g,0.004 g,0.014 g,0.019 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,99.48 g,61.924 g,28.732 g,3.694 g,256.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.24 g,11.0
49,"Chicory, raw, witloof",100 g,17.0,0.1g,,0,2.00 mg,0,37.00 mcg,0.00 mcg,0.160 mg,0.145 mg,0.027 mg,0.062 mg,29.00 IU,1.00 mcg,0,0,0,0,0.0,0.00 mcg,0.042 mg,2.8 mg,0.00 IU,0,0,0,19.00 mg,0.051 mg,0.24 mg,10.00 mg,0.100 mg,26.00 mg,211.00 mg,0.2 mcg,0.16 mg,0.90 g,0,0.066 g,0,0,0,0,0.015 g,0,0.054 g,0.039 g,0.035 g,0.005 g,0.022 g,0,0,0.025 g,0.016 g,0,0.041 g,4.00 g,3.1 g,0,0,0,0,0,0,0,0.10 g,0.024 g,0.002 g,0.044 g,0.00 mg,0,0.47 g,0,0,94.52 g,1.0
50,"KEEBLER, Waffle Cones",100 g,424.0,5.3g,0.9g,0,149.00 mg,0,124.00 mcg,0,4.340 mg,0,0.330 mg,0.540 mg,0,0,0,0,0,0,0.0,0.00 mcg,0.030 mg,0,0,0.05 mg,0.05 mg,0,0,0,3.00 mg,15.00 mg,0,80.00 mg,100.00 mg,0,0.70 mg,6.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.70 g,1.8 g,31.60 g,0,0,0,0,0,0,5.30 g,0.860 g,1.860 g,1.350 g,0,0,0,0,0,2.00 g,1.5
51,"KEEBLER, Waffle Bowls",100 g,424.0,5.3g,0.9g,0,149.00 mg,0,124.00 mcg,0,4.340 mg,0,0.330 mg,0.540 mg,0,0,0,0,0,0,0.0,0.00 mcg,0.030 mg,0,0,0.05 mg,0.05 mg,0,0,0,3.00 mg,15.00 mg,0,80.00 mg,100.00 mg,0,0.70 mg,6.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.70 g,1.8 g,31.60 g,0,0,0,0,0,0,5.30 g,0.860 g,1.860 g,1.350 g,0,0,0,0,0,2.00 g,2.0
52,"Broccoli, raw, leaves",100 g,28.0,0.4g,0.1g,0,27.00 mg,0,71.00 mcg,0.00 mcg,0.638 mg,0.535 mg,0.119 mg,0.065 mg,16000.00 IU,0,0,0,0,0,0.0,0.00 mcg,0.159 mg,93.2 mg,0.00 IU,0,0,0,48.00 mg,0.045 mg,0.88 mg,25.00 mg,0.229 mg,66.00 mg,325.00 mg,3.0 mcg,0.40 mg,2.98 g,0.118 g,0.145 g,0.213 g,0.020 g,0.375 g,0.095 g,0.050 g,0,0.109 g,0.131 g,0.141 g,0.034 g,0.084 g,0.114 g,0.100 g,0.091 g,0.029 g,0.063 g,0.128 g,5.06 g,2.3 g,1.48 g,0,0,0,0,0,0,0.35 g,0.054 g,0.024 g,0.167 g,0.00 mg,0.0 g,0.92 g,0.00 mg,0.00 mg,90.69 g,0.9
53,"Durian, raw or frozen",100 g,147.0,5.3g,,0,2.00 mg,0,36.00 mcg,0,1.074 mg,0.230 mg,0.200 mg,0.374 mg,44.00 IU,2.00 mcg,6.00 mcg,23.00 mcg,0.00 mcg,0,0.0,0.00 mcg,0.316 mg,19.7 mg,0,0,0,0,6.00 mg,0.207 mg,0.43 mg,30.00 mg,0.325 mg,39.00 mg,436.00 mg,0,0.28 mg,1.47 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.09 g,3.8 g,0,0,0,0,0,0,0,5.33 g,0,0,0,0.00 mg,0,1.12 g,0,0,64.99 g,3.5
54,"Tomatoes, raw, orange",100 g,16.0,0.2g,,0,42.00 mg,0,29.00 mcg,0.00 mcg,0.593 mg,0.186 mg,0.034 mg,0.046 mg,1496.00 IU,75.00 mcg,0,0,0,0,0.0,0.00 mcg,0.060 mg,16.0 mg,0.00 IU,0,0,0,5.00 mg,0.062 mg,0.47 mg,8.00 mg,0.088 mg,29.00 mg,212.00 mg,0.4 mcg,0.14 mg,1.16 g,0.033 g,0.029 g,0.161 g,0.015 g,0.427 g,0.029 g,0.018 g,0,0.027 g,0.042 g,0.042 g,0.010 g,0.030 g,0.022 g,0.031 g,0.029 g,0.008 g,0.020 g,0.030 g,3.18 g,0.9 g,0,0,0,0,0,0,0,0.19 g,0.025 g,0.028 g,0.076 g,0.00 mg,0,0.69 g,0,0,94.78 g,0.6
55,"Tomatoes, raw, yellow",100 g,15.0,0.3g,,0,23.00 mg,0,30.00 mcg,0.00 mcg,1.179 mg,0.110 mg,0.047 mg,0.041 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0.00 mcg,0.056 mg,9.0 mg,0.00 IU,0,0,0,11.00 mg,0.101 mg,0.49 mg,12.00 mg,0.120 mg,36.00 mg,258.00 mg,0.4 mcg,0.28 mg,0.98 g,0.028 g,0.024 g,0.135 g,0.013 g,0.359 g,0.024 g,0.015 g,0,0.023 g,0.036 g,0.036 g,0.008 g,0.025 g,0.018 g,0.026 g,0.024 g,0.007 g,0.017 g,0.025 g,2.98 g,0.7 g,0,0,0,0,0,0,0,0.26 g,0.036 g,0.040 g,0.108 g,0.00 mg,0,0.50 g,0,0,95.28 g,0.6
56,"Egg custards, dry mix",100 g,410.0,6.4g,2g,258mg,281.00 mg,0,30.00 mcg,0.00 mcg,0.320 mg,2.238 mg,0.412 mg,0.145 mg,217.00 IU,63.00 mcg,0,0,0,0,0.0,1.17 mcg,0.216 mg,0.4 mg,0,0,0,0,228.00 mg,0.046 mg,1.93 mg,45.00 mg,0.020 mg,332.00 mg,540.00 mg,16.6 mcg,1.05 mg,6.90 g,0.341 g,0.361 g,0.681 g,0.130 g,1.031 g,0.185 g,0.156 g,0,0.368 g,0.623 g,0.553 g,0.153 g,0.261 g,0.351 g,0.475 g,0.401 g,0.094 g,0.257 g,0.381 g,82.80 g,0.0 g,0,0,0,0,0,0,0,6.40 g,2.030 g,2.400 g,0.850 g,258.00 mg,0.0 g,2.20 g,0,0,1.70 g,2.5
57,"Peanut flour, low fat",100 g,428.0,22g,3g,0,1.00 mg,0,133.00 mcg,0.00 mcg,11.499 mg,1.543 mg,0.172 mg,0.457 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0.00 mcg,0.304 mg,0.0 mg,0.00 IU,0,0,0,130.00 mg,2.039 mg,4.74 mg,48.00 mg,4.231 mg,508.00 mg,1358.00 mg,7.1 mcg,5.99 mg,33.80 g,1.343 g,4.042 g,4.123 g,0.433 g,7.063 g,2.037 g,0.854 g,0,1.188 g,2.191 g,1.213 g,0.415 g,1.752 g,1.492 g,1.665 g,1.158 g,0.328 g,1.374 g,1.418 g,31.27 g,15.8 g,0,0,0,0,0,0,0,21.90 g,3.040 g,10.866 g,6.921 g,0.00 mg,0,5.23 g,0.00 mg,0.00 mg,7.80 g,3.0
58,"Fish, smoked, haddock",100 g,116.0,1g,0.2g,77mg,763.00 mg,92.3 mg,15.00 mcg,0.00 mcg,5.073 mg,0.170 mg,0.049 mg,0.047 mg,80.00 IU,24.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.60 mcg,0.400 mg,0.0 mg,34.00 IU,0.55 mg,0.55 mg,0.1 mcg,49.00 mg,0.042 mg,1.40 mg,54.00 mg,0.030 mg,251.00 mg,415.00 mg,42.9 mcg,0.50 mg,25.23 g,1.526 g,1.509 g,2.583 g,0.270 g,3.766 g,1.211 g,0.743 g,0,1.162 g,2.050 g,2.317 g,0.747 g,0.985 g,0.892 g,1.029 g,1.106 g,0.283 g,0.852 g,1.300 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.96 g,0.173 g,0.157 g,0.321 g,77.00 mg,0.0 g,1.62 g,0.00 mg,0.00 mg,71.48 g,7.0
59,"DENNY'S, french fries",100 g,282.0,14g,2.5g,0,44.00 mg,0,15.00 mcg,0,2.717 mg,0.610 mg,0.048 mg,0.120 mg,0,0,0,0,0,0,0.0,0,0.220 mg,1.6 mg,0,0.98 mg,0.98 mg,28.8 mcg,14.00 mg,0.111 mg,0.72 mg,27.00 mg,0.179 mg,115.00 mg,492.00 mg,0.4 mcg,0.46 mg,3.41 g,0.111 g,0.182 g,0.747 g,0.030 g,0.505 g,0.101 g,0.050 g,0,0.121 g,0.192 g,0.141 g,0.040 g,0.151 g,0.111 g,0.131 g,0.111 g,0.050 g,0.091 g,0.303 g,35.20 g,3.5 g,0.85 g,0.26 g,0.00 g,0.41 g,0.00 g,0.00 g,0.18 g,14.13 g,2.534 g,3.408 g,6.548 g,0.00 mg,0,1.20 g,0,0,46.05 g,0.8
60,"Ground turkey, cooked",100 g,203.0,10g,2.7g,93mg,78.00 mg,78.2 mg,7.00 mcg,0.00 mcg,8.724 mg,1.193 mg,0.211 mg,0.077 mg,79.00 IU,24.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.34 mcg,0.633 mg,0.0 mg,8.00 IU,0.11 mg,0.11 mg,0.0 mcg,28.00 mg,0.151 mg,1.52 mg,30.00 mg,0.011 mg,254.00 mg,294.00 mg,31.1 mcg,3.11 mg,27.37 g,1.706 g,1.990 g,2.647 g,0.290 g,0,1.500 g,0.811 g,0.228 g,1.227 g,2.262 g,2.452 g,0.806 g,1.068 g,1.213 g,1.164 g,1.258 g,0.312 g,0.971 g,1.270 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,10.40 g,2.669 g,3.458 g,2.917 g,93.00 mg,0.0 g,1.26 g,0.00 mg,0.00 mg,62.07 g,3.0
61,"MURRAY, Vanilla Wafer",100 g,461.0,17g,5.7g,1mg,401.00 mg,0,88.00 mcg,0,2.600 mg,0,0.230 mg,0.420 mg,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42.00 mg,84.00 mg,0,0,4.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.90 g,1.4 g,31.50 g,0,0,0,0,0,0,17.40 g,5.700 g,3.900 g,6.600 g,1.00 mg,0,0,0,0,4.10 g,1.5
62,"WENDY'S, french fries",100 g,301.0,14g,2.8g,0,219.00 mg,33.0 mg,0,0,3.007 mg,0.630 mg,0.053 mg,0.157 mg,0,0,0,0,0,0,0.0,0,0.387 mg,3.8 mg,0,2.00 mg,2.00 mg,6.4 mcg,16.00 mg,0.159 mg,0.93 mg,33.00 mg,0.271 mg,126.00 mg,625.00 mg,0.8 mcg,0.54 mg,3.73 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.73 g,4.0 g,0.40 g,0.00 g,0.00 g,0.40 g,0.00 g,0.00 g,0.00 g,14.10 g,2.790 g,3.195 g,7.456 g,0,0,1.83 g,0,0,40.62 g,0.8
63,"Bread, toasted, wheat",100 g,313.0,4.3g,1g,0,601.00 mg,22.1 mg,86.00 mcg,20.00 mcg,6.250 mg,0.456 mg,0.382 mg,0.439 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0.0,0.00 mcg,0.153 mg,0.2 mg,0.00 IU,0.24 mg,0.24 mg,5.7 mcg,165.00 mg,0.198 mg,4.09 mg,59.00 mg,1.377 mg,188.00 mg,223.00 mg,33.4 mcg,1.47 mg,12.96 g,0.245 g,0.311 g,0.348 g,0.154 g,2.060 g,0.262 g,0.150 g,0,0.258 g,0.461 g,0.215 g,0.105 g,0.315 g,0.682 g,0.310 g,0.299 g,0.092 g,0.165 g,0.310 g,55.77 g,4.7 g,6.42 g,0,0,0,0,0,0,4.27 g,0.989 g,1.019 g,1.720 g,0.00 mg,0.0 g,2.77 g,0.00 mg,0.00 mg,24.23 g,0.3
64,"Danish pastry, cheese",100 g,374.0,22g,6.8g,23mg,417.00 mg,20.1 mg,60.00 mcg,35.00 mcg,2.000 mg,0.304 mg,0.260 mg,0.190 mg,128.00 IU,35.00 mcg,0.00 mcg,8.00 mcg,0.00 mcg,38.00 mcg,0.0,0.20 mcg,0.040 mg,0.1 mg,2.00 IU,0.35 mg,0.35 mg,6.9 mcg,35.00 mg,0.089 mg,1.80 mg,15.00 mg,0.351 mg,108.00 mg,98.00 mg,18.9 mcg,0.70 mg,8.00 g,0.292 g,0.324 g,0.511 g,0.137 g,2.021 g,0.239 g,0.205 g,0,0.371 g,0.644 g,0.430 g,0.174 g,0.402 g,0.717 g,0.428 g,0.293 g,0.089 g,0.293 g,0.412 g,37.20 g,1.0 g,6.95 g,0,0,0,0,0,0,21.90 g,6.794 g,11.313 g,2.575 g,23.00 mg,0.0 g,1.50 g,0.00 mg,0.00 mg,31.40 g,2.5
65,"Nuts, glazed, walnuts",100 g,500.0,36g,3.6g,0,446.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0.0,0,0,0.0 mg,0,0,0,0,71.00 mg,0,1.29 mg,0,0,0,232.00 mg,0,0,8.28 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.59 g,3.6 g,32.14 g,0,0,0,0,0,0,35.71 g,3.571 g,5.357 g,25.000 g,0.00 mg,0,2.13 g,0,0,6.28 g,5.0
